calc.001 | hHome | - | Hero | EN: Home | TR: Ana Sayfa
calc.226 | ltSub | - | Yerli vs yurt dışı | EN: The one-off costs only look big if you think of the worker as temporary. In practice these hires stay for year | TR: Tek seferlik masraflar yalnızca işçiyi geçici görürseniz büyük durur. 
calc.227 | ltK1 | - | Yerli vs yurt dışı | EN: The permit ladder | TR: İzin Süreci
calc.228 | ltY1c | - | Yerli vs yurt dışı | EN: 1 year | TR: 1 yıl
calc.229 | ltY2c | - | Yerli vs yurt dışı | EN: +2 years | TR: +2 yıl
calc.230 | ltY3c | - | Yerli vs yurt dışı | EN: +3 years | TR: +3 yıl
calc.231 | ltB1 | - | Yerli vs yurt dışı | EN: The first permit is for one year, then it extends by two, then by three. That takes the same worker to six yea | TR: İlk izin bir yıllıktır, sonra iki yıl, ardından üç yıl uzatılır. Bu, a
calc.232 | ltK2 | - | Yerli vs yurt dışı | EN: Why they stay | TR: Neden kalıyorlar
calc.233 | ltB2 | - | Yerli vs yurt dışı | EN: The permit is tied to your workplace, so they cannot move to the employer down the road mid-contract. They rel | TR: İzin işyerinize bağlıdır; sözleşme ortasında yandaki işverene geçemezl
calc.234 | ltK3 | - | Yerli vs yurt dışı | EN: What that is worth | TR: Bunun değeri ne
calc.235 | ltB3 | - | Yerli vs yurt dışı | EN: Every time someone walks out you pay again — advertising, interviews, the notice period, three months of train | TR: Biri işten her ayrıldığında yeniden ödersiniz — ilan, görüşmeler, ihba
calc.236 | ltSpread | - | Yerli vs yurt dışı | EN: The one-off cost, spread over time — per worker | TR: Tek seferlik maliyetin zamana yayılmış hali — işçi başına
calc.237 | ltL1 | - | Yerli vs yurt dışı | EN: Permit fees + flight, paid once | TR: İzin harçları + uçak bileti, bir kez
calc.238 | ltL2 | - | Yerli vs yurt dışı | EN: Per month if they stay 1 year | TR: 1 yıl kalırlarsa aylık
calc.239 | ltL3 | - | Yerli vs yurt dışı | EN: Per month if they stay 3 years | TR: 3 yıl kalırlarsa aylık
calc.240 | ltFoot | - | Yerli vs yurt dışı | EN: Renewals cost only the state fee — no new flight, no new search, no retraining. That is why employers who have | TR: Yenilemeler yalnızca devlet harcı kadar tutar — yeni uçak bileti yok, 
calc.241 | cmClose | - | Yerli vs yurt dışı | EN: We say it openly: if you can fill the job locally, do that — it is simpler. This route is for the jobs that st | TR: Açıkça söylüyoruz: işi yerelden doldurabiliyorsanız onu yapın — daha b
calc.242 | cmmK | - | Yerli vs yurt dışı | EN: The short answer | TR: Kısa cevap
calc.243 | cmmA1 | L | Yerli vs yurt dışı | EN: Salary and SGK are | TR: Maaş ve SGK, yerli ve yurt dışından işe alımda
calc.244 | cmmA2 | - | Yerli vs yurt dışı | EN: exactly the same | TR: birebir aynı
calc.245 | cmmA3 | - | Yerli vs yurt dışı | EN: for a local and an overseas hire. Only two things differ. | TR: dır. Yalnızca iki şey değişir.
calc.246 | cmm1 | - | Yerli vs yurt dışı | EN: 1 · What overseas costs extra | TR: 1 · Yurt dışının ek maliyeti
calc.247 | cmmFee | - | Yerli vs yurt dışı | EN: state fees, once | TR: devlet harcı, tek sefer
calc.248 | cmmPlus | - | Yerli vs yurt dışı | EN: Plus one flight. Both are paid a single time — the permit then renews with you, cheaper each year. | TR: Bir de uçak bileti. İkisi de tek sefer ödenir — izin sonrasında sizinl
calc.249 | cmm2 | - | Yerli vs yurt dışı | EN: 2 · What you get for it | TR: 2 · Karşılığında ne alıyorsunuz
calc.250 | cmmB1S | - | Yerli vs yurt dışı | EN: The job actually fills. | TR: İş gerçekten doluyor.
calc.251 | cmmB1 | - | Yerli vs yurt dışı | EN: At the same registered wage local applicants keep looking; these candidates apply and stay. | TR: Aynı kayıtlı ücrette yerli adaylar aramaya devam ederken bu adaylar ba
calc.252 | cmmB2S | - | Yerli vs yurt dışı | EN: Location is not a problem. | TR: Konum sorun değil.
calc.253 | cmmB2 | - | Yerli vs yurt dışı | EN: Workers move to the factory, farm or site — small cities included. | TR: İşçiler fabrikaya, çiftliğe veya şantiyeye gelir — küçük şehirler dahi
calc.254 | cmmB3S | - | Yerli vs yurt dışı | EN: Skills tested first. | TR: Beceriler önce test edilir.
calc.255 | cmmB3 | - | Yerli vs yurt dışı | EN: Trade-tested candidates, ready now — no months of empty shifts. | TR: Mesleği sınanmış adaylar, hemen hazır — aylarca boş vardiya yok.
calc.256 | cmmB4S | - | Yerli vs yurt dışı | EN: They stay for the contract. | TR: Sözleşme boyunca kalırlar.
calc.257 | cmmB4 | - | Yerli vs yurt dışı | EN: The permit is tied to your workplace, so you stop re-hiring and re-training. | TR: İzin işyerinize bağlıdır, böylece tekrar işe alma ve eğitme döngüsü bi
calc.258 | cmmB5S | - | Yerli vs yurt dışı | EN: Paperwork is ours. | TR: Evrak işi bizde.
calc.259 | cmmB5 | L | Yerli vs yurt dışı | EN: Sourcing, checks, permit filing and SGK admin are done by us. | TR: Bulma, kontrol, izin başvurusu ve SGK işlemleri tarafımızdan yapılır.
calc.260 | stH | - | Öğrenciler | EN: Hiring foreign students already in Turkey | TR: Türkiye'de bulunan yabancı öğrencileri işe alma
calc.261 | stSub | - | Öğrenciler | EN: This is a different route with its own rules: no flight, no consulate step, and the person is already living i | TR: Bu, kendi kuralları olan farklı bir yol: uçak bileti yok, konsolosluk 
calc.262 | st1T | - | Öğrenciler | EN: Associate & bachelor students | TR: Ön lisans ve lisans öğrencileri
calc.263 | st1S | - | Öğrenciler | EN: Ön lisans · Lisans | TR: Ön lisans · Lisans
calc.264 | st1a1 | - | Öğrenciler | EN: Only | TR: Yalnızca
calc.265 | st1a2 | - | Öğrenciler | EN: after the first year is finished | TR: birinci sınıf tamamlandıktan sonra
calc.266 | st1a3 | - | Öğrenciler | EN: — the prep year and the first year do not count. | TR: — hazırlık yılı ve birinci sınıf sayılmaz.
calc.267 | st1b2 | - | Öğrenciler | EN: Part-time only | TR: Yalnızca yarı zamanlı
calc.268 | st1b3 | - | Öğrenciler | EN: — up to 24 hours a week. | TR: — haftada en fazla 24 saat.
calc.269 | st1c | - | Öğrenciler | EN: Students on a Turkish state scholarship may not be allowed to work while they study. | TR: Türkiye burslusu öğrencilerin öğrenim süresince çalışmasına izin veril
calc.270 | st2T | - | Öğrenciler | EN: Master's & doctorate students | TR: Yüksek lisans ve doktora öğrencileri
calc.271 | st2S | - | Öğrenciler | EN: Yüksek lisans · Doktora | TR: Yüksek lisans · Doktora
calc.272 | st2a2 | - | Öğrenciler | EN: No waiting for the first year | TR: Birinci yılı beklemek yok
calc.273 | st2a3 | - | Öğrenciler | EN: — they can work from any point in their studies. | TR: — öğrenimlerinin herhangi bir aşamasında çalışabilirler.
calc.274 | st2b2 | - | Öğrenciler | EN: No limit on weekly hours | TR: Haftalık saat sınırı yok
calc.275 | st2b3 | - | Öğrenciler | EN: — full-time work is possible. | TR: — tam zamanlı çalışma mümkündür.
calc.276 | st2c | - | Öğrenciler | EN: Useful for engineering, IT, agriculture-science and management roles where the degree itself is the qualificat | TR: Diplomanın kendisinin nitelik sayıldığı mühendislik, bilişim, ziraat v
calc.277 | st3T | - | Öğrenciler | EN: You apply, not the student | TR: Başvuruyu öğrenci değil siz yaparsınız
calc.278 | st3B | - | Öğrenciler | EN: A student cannot file for their own permit. They find the job first, then you apply electronically to the Mini | TR: Öğrenci kendi izni için başvuramaz. Önce işi bulurlar, sonra siz onlar
calc.279 | st4T | - | Öğrenciler | EN: Student residence stays separate | TR: Öğrenci ikameti ayrı kalır
calc.280 | st4B | - | Öğrenciler | EN: The work permit does not replace their student residence permit — that must stay valid throughout, or the perm | TR: Çalışma izni öğrenci ikamet iznini ortadan kaldırmaz — ikametin sürekl
calc.281 | st5T | - | Öğrenciler | EN: Student years do not build the 3-year exemption | TR: Öğrencilik yılları 3 yıl muafiyetini oluşturmaz
calc.282 | st5B | - | Öğrenciler | EN: The "3 of the last 5 years resident" exemption above excludes student residence — so a fresh graduate does not | TR: Yukarıdaki "son 5 yılın 3'ünde ikamet" muafiyeti öğrenci ikametini kap
calc.283 | stFootL | - | Öğrenciler | EN: Working without a permit is not a grey area. | TR: İzinsiz çalışma gri alan değildir.
calc.284 | stFoot | L | Öğrenciler | EN: If a student is found working unregistered, the residence permit is cancelled by the migration authority and b | TR: Bir öğrenci kayıt dışı çalışırken tespit edilirse ikamet izni göç idar
calc.285 | smK | - | Öğrenciler | EN: Why this route is easier | TR: Bu yol neden daha kolay
calc.286 | smA1 | - | Öğrenciler | EN: No flight, no consulate step, no relocation — the person already lives in your city. What they may work depend | TR: Uçak bileti yok, konsolosluk adımı yok, taşınma yok — kişi zaten sizin
calc.287 | smA2 | - | Öğrenciler | EN: what they study | TR: ne okuduklarına
calc.288 | smA3 | - | Öğrenciler | EN: . | TR: bağlı.
calc.289 | smB1 | - | Öğrenciler | EN: Bachelor / associate | TR: Lisans / ön lisans
calc.290 | smB1S | - | Öğrenciler | EN: Lisans · Ön lisans | TR: Lisans · Ön lisans
calc.291 | smB1a | - | Öğrenciler | EN: 24 h / week | TR: 24 saat / hafta
calc.292 | smB1b | - | Öğrenciler | EN: part-time only | TR: yalnızca yarı zamanlı
calc.293 | smB1c | - | Öğrenciler | EN: After year 1 | TR: 1. yıldan sonra
calc.294 | smB1d | - | Öğrenciler | EN: prep year excluded | TR: hazırlık yılı hariç
calc.295 | smB1n | - | Öğrenciler | EN: State-scholarship students may not be allowed to work at all while studying. | TR: Türkiye burslusu öğrencilerin öğrenim süresince hiç çalışmasına izin v
calc.296 | smB2 | - | Öğrenciler | EN: Master's / doctorate | TR: Yüksek lisans / doktora
calc.297 | smB2S | - | Öğrenciler | EN: Yüksek lisans · Doktora | TR: Yüksek lisans · Doktora
calc.298 | smB2a | - | Öğrenciler | EN: Full-time | TR: Tam zamanlı
calc.299 | smB2b | - | Öğrenciler | EN: no hour limit | TR: saat sınırı yok
calc.300 | smB2c | - | Öğrenciler | EN: From day one | TR: İlk günden
calc.301 | smB2d | - | Öğrenciler | EN: no waiting year | TR: bekleme yılı yok
calc.302 | smB2n | - | Öğrenciler | EN: Best fit for engineering, IT, agri-science and management roles. | TR: Mühendislik, bilişim, ziraat ve yönetim pozisyonları için en uygunu.
calc.303 | smR1S | - | Öğrenciler | EN: You apply, not the student. | TR: Başvuruyu öğrenci değil siz yaparsınız.
calc.304 | smR1 | - | Öğrenciler | EN: They find the job, you file with the Ministry. | TR: Onlar işi bulur, siz Bakanlığa başvurursunuz.
calc.305 | smR2S | - | Öğrenciler | EN: Student residence must stay valid | TR: Öğrenci ikameti geçerli kalmalı
calc.306 | smR2 | - | Öğrenciler | EN: — the work permit falls with it. | TR: — çalışma izni onunla birlikte düşer.
calc.307 | smR3S | - | Öğrenciler | EN: Student years do not count | TR: Öğrencilik yılları sayılmaz
calc.308 | smR3 | - | Öğrenciler | EN: towards the 3-of-5-years exemption after graduation. | TR: — mezuniyet sonrası 5 yılın 3'ü muafiyetine dahil edilmez.
calc.309 | smR4S | - | Öğrenciler | EN: Unregistered work cancels their residence. | TR: Kayıt dışı çalışma ikameti iptal ettirir.
calc.310 | smR4 | - | Öğrenciler | EN: Already have a student working informally? Tell us — regularising is usually straightforward. | TR: Kayıt dışı çalışan bir öğrenciniz mi var? Bize söyleyin — yasal hale g
calc.311 | navAbout | - | Menü ve genel etiketler | EN: About Us | TR: Hakkımızda
calc.312 | navHire | - | Menü ve genel etiketler | EN: Hire Workers | TR: İşçi Talebi
calc.313 | navCandidates | - | Menü ve genel etiketler | EN: Candidates | TR: Adaylar
calc.314 | navPermits | - | Menü ve genel etiketler | EN: Work Permits | TR: Çalışma İzinleri
calc.315 | navCalc | - | Menü ve genel etiketler | EN: Cost Calculator | TR: Maliyet Hesaplama
calc.316 | navStories | - | Menü ve genel etiketler | EN: Success Stories | TR: Başarı Hikayeleri
calc.317 | navContact | - | Menü ve genel etiketler | EN: Contact Us | TR: İletişim
calc.318 | navBlog | - | Menü ve genel etiketler | EN: Blog | TR: Blog
calc.319 | navBlogShort | - | Menü ve genel etiketler | EN: Blog & Guides | TR: Blog ve Rehberler
calc.320 | navVerify | - | Menü ve genel etiketler | EN: Verify a Representative | TR: Temsilci Doğrula
calc.321 | navPartner | - | Menü ve genel etiketler | EN: Partner With Us | TR: İş Ortaklığı
calc.322 | navJoin | - | Menü ve genel etiketler | EN: Join Our Team | TR: Ekibimize Katılın
calc.323 | navCrm | - | Menü ve genel etiketler | EN: CRM Login → | TR: CRM Girişi →
calc.324 | navOpenCalc | - | Menü ve genel etiketler | EN: Open the calculator | TR: Hesaplayıcıyı aç
calc.325 | fEmployers | - | Footer | EN: For Employers | TR: İşverenler İçin
calc.326 | aIncT | - | Bölüm başlıkları | EN: Incentives that lower the bill | TR: Faturayı düşüren teşvikler
calc.327 | aIncS | L | Bölüm başlıkları | EN: SGK discount, wage support, regional schemes | TR: SGK indirimi, ücret desteği, bölgesel programlar
calc.328 | iH | - | Teşvikler | EN: Government incentives that lower the bill | TR: Faturayı düşüren devlet teşvikleri
calc.329 | iSub | L | Teşvikler | EN: SGK incentives (teşvikler) are given to the workplace, not to the worker's nationality, so the same discounts  | TR: SGK teşvikleri işçinin uyruğuna değil işyerine verilir; bu yüzden Türk
calc.330 | i1T | L | Teşvikler | EN: 5510 SGK premium discount | TR: 5510 SGK prim indirimi
calc.331 | i1S | - | Teşvikler | EN: 2 points · 5 points in manufacturing | TR: 2 puan · imalatta 5 puan
calc.332 | i2T | - | Teşvikler | EN: Minimum wage support | TR: Asgari ücret desteği
calc.333 | i3T | - | Teşvikler | EN: Regional & investment incentives | TR: Bölgesel ve yatırım teşvikleri
calc.334 | i3S | - | Teşvikler | EN: Up to the full employer share | TR: İşveren payının tamamına kadar
calc.335 | i3B | - | Teşvikler | EN: With an investment incentive certificate, the employer premium share on minimum wage can be covered — in Zone  | TR: Yatırım teşvik belgesiyle asgari ücret üzerindeki işveren prim payı ka
calc.336 | i3F | - | Teşvikler | EN: Not modelled in the calculator — your accountant will know if your workplace holds one. | TR: Hesaplayıcıda modellenmemiştir — işyerinizin böyle bir belgesi olup ol
calc.337 | i2S | - | Teşvikler | EN: ₺1,270 per insured worker / month (2026) | TR: Sigortalı işçi başına ayda ₺1.270 (2026)
calc.338 | i2B | L | Teşvikler | EN: ₺42.33 per day, offset against your SGK premiums from the Unemployment Insurance Fund. Continues in 2026 for w | TR: Günlük ₺42,33; İşsizlik Sigortası Fonu'ndan SGK primlerinizden mahsup 
calc.339 | i2F1 | - | Teşvikler | EN: On 10 workers that is | TR: 10 işçide bu, prim faturanızdan ayda
calc.340 | i2F2 | - | Teşvikler | EN: a month off your premium bill. | TR: düşer.
calc.341 | i1B | - | Teşvikler | EN: The Treasury covers part of the employer's disability–old age–death premium. Manufacturing workplaces get 5 po | TR: Hazine, işverenin malüllük–yaşlılık–ölüm priminin bir kısmını karşılar
calc.342 | iNotT1 | - | Teşvikler | EN: What the state does | TR: Devletin öde
calc.343 | iNotEm | - | Teşvikler | EN: not | TR: mediği
calc.344 | iNotT2 | - | Teşvikler | EN: pay for | TR: şeyler
calc.345 | iN1T | - | Teşvikler | EN: No subsidy for hiring a foreigner | TR: Yabancı işçi almak için destek yok
calc.346 | iN1B | - | Teşvikler | EN: There is no grant, refund or bonus for employing a foreign worker. If someone promises you one, it is not true | TR: Yabancı işçi çalıştırmak için hibe, iade veya prim yoktur. Size böyle 
calc.347 | iN2T | - | Teşvikler | EN: Agricultural support goes to the producer | TR: Tarımsal destek üreticiye gider
calc.348 | iN2B | - | Teşvikler | EN: Agricultural subsidies (tarımsal destekler) fund production — land, diesel, seed, livestock. They are not empl | TR: Tarımsal destekler üretimi finanse eder — arazi, mazot, tohum, hayvanc
calc.349 | iN3T | - | Teşvikler | EN: Some incentives exclude foreigners | TR: Bazı teşvikler yabancıları kapsam dışı bırakır
calc.350 | iN3B | L | Teşvikler | EN: Incentives that require the hire to be registered unemployed at İŞKUR (7103 / geçici 19) cannot be used, becau | TR: İşe alınan kişinin İŞKUR'a işsiz kayıtlı olmasını gerektiren teşvikler
calc.351 | iN4T | - | Teşvikler | EN: KOSGEB wage support excludes them by rule | TR: KOSGEB ücret desteği kural gereği kapsam dışı bırakır
calc.352 | iN4B | - | Teşvikler | EN: The qualified-personnel (nitelikli eleman) salary support is written for Turkish citizens with a university de | TR: Nitelikli eleman ücret desteği üniversite mezunu Türk vatandaşları içi
calc.353 | iCanL | - | Teşvikler | EN: What you can get: | TR: Alabilecekleriniz:
calc.354 | iCan | L | Teşvikler | EN: the 5510 premium discount and the minimum wage support above. Both belong to your workplace and both are alrea | TR: yukarıdaki 5510 prim indirimi ve asgari ücret desteği. İkisi de işyeri
calc.355 | iWarnL | - | Teşvikler | EN: These discounts depend on your workplace, not on us. | TR: Bu indirimler bize değil, işyerinize bağlıdır.
calc.356 | iWarn | L | Teşvikler | EN: To get any SGK incentive, the workplace must have no unpaid premium debt, must file its declarations on time a | TR: Herhangi bir SGK teşviğinden yararlanmak için işyerinin ödenmemiş prim
calc.357 | imK | - | Teşvikler | EN: Already in your estimate | TR: Tahmininize zaten dahil
calc.358 | im1S | L | Teşvikler | EN: SGK premium discount (5510). | TR: SGK prim indirimi (5510).
calc.359 | im1a | - | Teşvikler | EN: Your rate above is | TR: Yukarıdaki oranınız tam %23,75 yerine
calc.360 | im1b | - | Teşvikler | EN: instead of the full 23.75% — manufacturing gets 18.75%. | TR: — imalatta %18,75.
calc.361 | im2S | - | Teşvikler | EN: Minimum wage support ₺1,270 | TR: Asgari ücret desteği ₺1.270
calc.362 | im2 | - | Teşvikler | EN: per worker per month — on 10 workers that is ₺12,700 off the premium bill. | TR: işçi başına ayda — 10 işçide prim faturasından ₺12.700 düşer.
calc.363 | imK2 | - | Teşvikler | EN: One more — case by case | TR: Bir tane daha — duruma göre
calc.364 | im3S | - | Teşvikler | EN: Regional & investment incentives. | TR: Bölgesel ve yatırım teşvikleri.
calc.365 | im3 | - | Teşvikler | EN: With an investment certificate the whole employer share on minimum wage can be covered. Not in the calculator  | TR: Yatırım belgesiyle asgari ücret üzerindeki işveren payının tamamı karş
calc.366 | imK3 | - | Teşvikler | EN: What does not exist | TR: Var olmayanlar
calc.367 | undefined | - | Teşvikler | EN: There is | TR: 
calc.368 | im4S | - | Teşvikler | EN: no grant or refund for hiring a foreign worker | TR: Yabancı işçi almak için hibe veya iade yoktur
calc.369 | im4b | L | Teşvikler | EN: . İŞKUR-based incentives (7103) and KOSGEB wage support exclude foreign nationals by rule, and agricultural su | TR: . İŞKUR'a dayalı teşvikler (7103) ve KOSGEB ücret desteği kural gereği
calc.370 | gCap | - | Diğer | EN: ₺100,000 | TR: ₺100.000
calc.371 | gSales | - | Diğer | EN: ₺800,000 | TR: ₺800.000
calc.372 | gExp | - | Diğer | EN: $250,000 | TR: 250.000 $
calc.373 | gmCap | - | Diğer | EN: ₺100k | TR: ₺100.000
calc.374 | gmSales | - | Diğer | EN: ₺800k | TR: ₺800.000
calc.375 | gmExp | - | Diğer | EN: $250k | TR: 250.000 $
calc.376 | pcK | - | Geçer-mi testi | EN: Pass check | TR: Geçer-mi testi
calc.377 | pcReset | - | Geçer-mi testi | EN: Reset ✕ | TR: Sıfırla ✕
calc.378 | pcPriv | - | Geçer-mi testi | EN: Your answers are not sent to us — the check runs in your browser. | TR: Cevaplarınız bize gönderilmez — kontrol tarayıcınızda çalışır.
calc.379 | pcFix | - | Geçer-mi testi | EN: Fix these first | TR: Önce bunları düzeltin
calc.380 | pcSideT | - | Geçer-mi testi | EN: Want your exact number? | TR: Net rakamınızı ister misiniz?
calc.381 | pcSideB | - | Geçer-mi testi | EN: Send us the roles and headcount — written quote within 24 hours. | TR: Meslekleri ve işçi sayısını gönderin — 24 saat içinde yazılı teklif.
calc.382 | pcSub | - | Geçer-mi testi | EN: Most refusals come from five things. Answer them honestly. It takes a minute and shows you whether to file now | TR: Retlerin çoğu beş şeyden kaynaklanır. Bunları dürüstçe cevaplayın. Bir
calc.383 | fqH | - | SSS | EN: Cost questions | TR: Maliyet soruları
calc.384 | fqSub | - | SSS | EN: What employers ask when they see these numbers for the first time. | TR: İşverenlerin bu rakamları ilk gördüklerinde sordukları.
calc.385 | rtNone | - | Teşvikler | EN: No discount | TR: İndirim yok
calc.386 | rtMost | - | Teşvikler | EN: Most sectors (2 pt) | TR: Çoğu sektör (2 puan)
calc.387 | rtManuf | - | Teşvikler | EN: Manufacturing (5 pt) | TR: İmalat (5 puan)
calc.388 | bdgCalc | - | Teşvikler | EN: In the calculator | TR: Hesaplayıcıda var
calc.389 | bdgCase | - | Teşvikler | EN: Case by case | TR: Duruma göre
calc.390 | footDirections | - | Footer | EN: Get directions | TR: Yol tarifi alın
calc.391 | footWa | - | Footer | EN: WhatsApp Us → | TR: WhatsApp'tan yazın →
calc.392 | footAppTitle | - | Footer | EN: Manage your workforce anywhere | TR: İş gücünüzü her yerden yönetin
calc.393 | footAppSub | - | Footer | EN: Approve candidates, track permits and get instant updates. | TR: Adayları onaylayın, izinleri takip edin ve anlık bildirim alın.
calc.394 | footOfficeAntalya | - | Footer | EN: Antalya · Head office | TR: Antalya · Merkez ofis
calc.395 | footOfficeKarachi | - | Footer | EN: Karachi · Tech office | TR: Karaçi · Teknoloji ofisi
calc.396 | footHoursAntalya | - | Footer | EN: Mon–Fri 09:00–18:00 | TR: Pzt–Cum 09:00–18:00
calc.397 | footHoursKarachi | - | Footer | EN: Mon–Sat 10:00–19:00 PKT | TR: Pzt–Cmt 10:00–19:00 PKT
calc.398 | navCrmPlain | - | Menü ve genel etiketler | EN: CRM Login | TR: CRM Girişi
calc.399 | sheetPick | - | Diğer | EN: Pick a profession | TR: Meslek seçin
calc.400 | footCompany | - | Footer | EN: Company | TR: Kurumsal
calc.401 | footContact | - | Footer | EN: Contact | TR: İletişim
calc.402 | footApp | - | Footer | EN: Get Our App | TR: Uygulamamız
calc.403 | privacy | - | Footer | EN: Privacy | TR: Gizlilik Politikası
calc.404 | terms | - | Footer | EN: Terms | TR: Kullanım Şartları
calc.405 | faqEyebrow | - | SSS | EN: FAQ | TR: SSS
calc.406 | lblEmail | - | Diğer | EN: Email | TR: E-posta
calc.407 | pFine1 | - | Cezalar | EN: ₺102,504 | TR: ₺102.504
calc.408 | pFine1x | - | Cezalar | EN: ₺205,008 | TR: ₺205.008
calc.409 | pFine2 | - | Cezalar | EN: ₺170,906 | TR: ₺170.906
calc.410 | pFine2x | - | Cezalar | EN: ₺341,812 | TR: ₺341.812
calc.411 | cmpFee | - | Yerli vs yurt dışı | EN: ≈ ₺16,000 | TR: ≈ ₺16.000
calc.412 | lblLanguage | - | Menü ve genel etiketler | EN: Language | TR: Dil
calc.413 | pcSend | - | Geçer-mi testi | EN: Send my result to a specialist | TR: Sonucumu bir uzmana gönder
calc.414 | legal | L | Footer | EN: İŞKUR permit No. 1730 · Job seekers are never charged a fee (law No. 4904) · Tax No: 48422122 | TR: İŞKUR İzin Belgesi No: 1730 · İş arayanlardan hiçbir ücret alınmaz (49
calc.415 | rvNone | - | Teşvikler | EN: 23.75% | TR: %23,75
calc.416 | rvMost | - | Teşvikler | EN: 21.75% | TR: %21,75
calc.417 | rvManuf | - | Teşvikler | EN: 18.75% | TR: %18,75
calc.418 | lic | L | Menü ve genel etiketler | EN: İŞKUR Licensed · Permit No. 1730 | TR: Özel İstihdam Bürosu · İzin Belgesi No: 1730
calc.419 | licShort | L | Menü ve genel etiketler | EN: İŞKUR · 1730 | TR: İŞKUR · 1730
calc.420 | nationwide | - | Diğer | EN: Serving employers across Türkiye | TR: Türkiye genelinde işverenlere hizmet
calc.421 | brkHide | - | Hesaplayıcı | EN: Hide the breakdown | TR: Dökümü gizle
calc.422 | brkShow | - | Hesaplayıcı | EN: See where the money goes | TR: Para nereye gidiyor?
calc.423 | advFew | - | Hesaplayıcı | EN: Fewer options | TR: Daha az seçenek
calc.424 | advMore | L | Hesaplayıcı | EN: + Contract, extras & SGK discount | TR: + Sözleşme, ekstralar ve SGK teşviki
calc.425 | quotaNone | - | Diğer | EN: No foreign workers yet | TR: Henüz yabancı işçi yok
calc.426 | quotaTitleNo | - | Diğer | EN: Standard rule not met | TR: Standart kural karşılanmıyor
calc.427 | quotaTitleYes | - | Diğer | EN: Standard rule allows | TR: Standart kuralın izin verdiği
calc.428 | quotaMsgExact | - | Diğer | EN: Counted as 5 Turkish employees for each foreign worker. Your number fits exactly. | TR: Her yabancı işçi için 5 Türk çalışan sayılır. Sayınız tam olarak uyuyo
calc.429 | quotaVsOk | - | Diğer | EN: That is within your quota. | TR: Bu, kotanızın içinde.
calc.430 | exTabSector | - | Kota kontrolü | EN: By sector | TR: Sektöre göre
calc.431 | exTabCompany | - | Kota kontrolü | EN: By company | TR: Şirkete göre
calc.432 | exTabPerson | - | Kota kontrolü | EN: By candidate | TR: Adaya göre
calc.433 | pcYes | - | Geçer-mi testi | EN: Yes | TR: Evet
calc.434 | pcNo | - | Geçer-mi testi | EN: No | TR: Hayır
calc.435 | pcMaybe | - | Geçer-mi testi | EN: Not sure | TR: Emin değilim
calc.436 | pcClear | - | Geçer-mi testi | EN: Clear — recheck above ↑ | TR: Uygun — yukarıdan kontrol edin ↑
calc.437 | pcShort | - | Geçer-mi testi | EN: Short — fix above ↑ | TR: Yetersiz — yukarıdan düzeltin ↑
calc.438 | vIdleK | - | Geçer-mi testi | EN: Your result | TR: Sonucunuz
calc.439 | vIdleT | - | Geçer-mi testi | EN: Answer the five checks | TR: Beş kontrolü cevaplayın
calc.440 | vIdleB | - | Geçer-mi testi | EN: The quota check is filled in from the calculator above. Answer the other four and you get a straight verdict. | TR: Kota kontrolü yukarıdaki hesaplayıcıdan otomatik dolar. Diğer dördünü 
calc.441 | vProgK | - | Geçer-mi testi | EN: In progress | TR: Devam ediyor
calc.442 | vProgT | - | Geçer-mi testi | EN: So far, so good | TR: Şu ana kadar iyi
calc.443 | vProgB | - | Geçer-mi testi | EN: Nothing has failed yet. Finish the remaining checks for the full verdict. | TR: Henüz hiçbir şey takılmadı. Tam sonuç için kalan kontrolleri tamamlayı
calc.444 | pcConfirm | - | Geçer-mi testi | EN: Confirm: | TR: Teyit edin:
calc.445 | ckCapT | - | Geçer-mi testi | EN: Your company meets one of the financial criteria | TR: Şirketiniz mali şartlardan birini karşılıyor
calc.446 | ckCapB | - | Geçer-mi testi | EN: ₺100,000 paid-in capital, ₺800,000 gross sales or $250,000 exports in the last financial year — any one of the | TR: Son mali yılda ₺100.000 ödenmiş sermaye, ₺800.000 brüt satış veya 250.
calc.447 | ckCapF | - | Geçer-mi testi | EN: Company criteria not met. Household employers and a few categories are outside it — send us your figures befor | TR: Şirket şartları karşılanmıyor. Ev hizmetlerinde çalıştıranlar ve birka
calc.448 | ckQuoT | - | Geçer-mi testi | EN: You have enough Turkish employees for the 5:1 rule | TR: 5:1 kuralı için yeterli Türk çalışanınız var
calc.449 | ckSgkT | L | Geçer-mi testi | EN: No overdue SGK or tax debt at this workplace | TR: Bu işyerinde vadesi geçmiş SGK veya vergi borcu yok
calc.450 | ckSgkB | - | Geçer-mi testi | EN: Premiums and filings up to date, and no unregistered-employment finding on record. Debt blocks the permit and  | TR: Primler ve beyanlar güncel, kayıtlarda kayıt dışı istihdam tespiti yok
calc.451 | ckSgkF | L | Geçer-mi testi | EN: Clear the SGK or tax debt, or put a payment plan in place — the file stalls at the Ministry otherwise. | TR: SGK veya vergi borcunu kapatın ya da bir ödeme planına bağlayın — aksi
calc.452 | ckSalT | - | Geçer-mi testi | EN: The salary you will declare is at or above the legal minimum | TR: Beyan edeceğiniz maaş yasal alt sınırda veya üzerinde
calc.453 | ckDocT | - | Geçer-mi testi | EN: Documents ready, translated and notarised | TR: Belgeler hazır, tercüme ve noter onaylı
